1202 | 12/09/2022 | 22:13:30 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.76 < Threshold 2.88 Volts
122c | 12/09/2022 | 22:16:01 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
122d | 12/09/2022 | 22:16:01 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
122e | 12/09/2022 | 22:16:19 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
122f | 12/09/2022 | 22:16:19 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1230 | 12/09/2022 | 22:16:28 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1231 | 12/09/2022 | 22:16:28 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1232 | 12/09/2022 | 22:16:44 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
1233 | 12/09/2022 | 22:16:45 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
1234 | 12/09/2022 | 22:16:45 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
1235 | 12/09/2022 | 22:16:56 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1236 | 12/09/2022 | 22:16:57 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1237 | 12/09/2022 | 22:16:57 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1238 | 12/09/2022 | 22:17:21 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1239 | 12/09/2022 | 22:17:24 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
123a | 12/09/2022 | 22:17:27 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
123b | 12/09/2022 | 22:17:27 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
123c | 12/09/2022 | 22:17:48 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
123d | 12/09/2022 | 22:17:48 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
123e | 12/09/2022 | 22:17:51 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
123f | 12/09/2022 | 22:17:57 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3 < Threshold 2.88 Volts
1240 | 12/09/2022 | 22:17:57 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3 < Threshold 2.90 Volts
1241 | 12/09/2022 | 22:17:58 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
1242 | 12/09/2022 | 22:18:21 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
1243 | 12/09/2022 | 22:18:22 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1244 | 12/09/2022 | 22:18:27 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.81 < Threshold 2.88 Volts
1245 | 12/09/2022 | 22:18:30 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
1246 | 12/09/2022 | 22:18:31 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1247 | 12/09/2022 | 22:18:31 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1248 | 12/09/2022 | 22:18:52 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
1249 | 12/09/2022 | 22:18:52 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
124a | 12/09/2022 | 22:18:52 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
124b | 12/09/2022 | 22:19:01 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
124c | 12/09/2022 | 22:19:01 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
124d | 12/09/2022 | 22:19:01 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
124e | 12/09/2022 | 22:19:31 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
124f | 12/09/2022 | 22:19:31 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1250 | 12/09/2022 | 22:19:34 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1251 | 12/09/2022 | 22:19:34 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1252 | 12/09/2022 | 22:19:49 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.83 < Threshold 2.93 Volts
1253 | 12/09/2022 | 22:19:49 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
1254 | 12/09/2022 | 22:19:50 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
1255 | 12/09/2022 | 22:20:01 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.02 < Threshold 2.88 Volts
1256 | 12/09/2022 | 22:20:02 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.02 < Threshold 2.90 Volts
1257 | 12/09/2022 | 22:20:02 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
1258 | 12/09/2022 | 22:20:25 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
1259 | 12/09/2022 | 22:20:26 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
125a | 12/09/2022 | 22:20:26 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
125b | 12/09/2022 | 22:20:29 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.02 < Threshold 2.88 Volts
125c | 12/09/2022 | 22:20:29 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.02 < Threshold 2.90 Volts
125d | 12/09/2022 | 22:20:29 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
125e | 12/09/2022 | 22:20:38 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.83 < Threshold 2.93 Volts
125f | 12/09/2022 | 22:20:38 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.83 < Threshold 2.90 Volts
1260 | 12/09/2022 | 22:20:38 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.83 < Threshold 2.88 Volts
1261 | 12/09/2022 | 22:20:47 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1262 | 12/09/2022 | 22:20:47 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1263 | 12/09/2022 | 22:20:47 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1264 | 12/09/2022 | 22:20:50 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.78 < Threshold 2.93 Volts
1265 | 12/09/2022 | 22:20:50 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.78 < Threshold 2.90 Volts
1266 | 12/09/2022 | 22:20:50 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.78 < Threshold 2.88 Volts
1267 | 12/09/2022 | 22:21:12 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
1268 | 12/09/2022 | 22:21:12 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1269 | 12/09/2022 | 22:21:13 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
126a | 12/09/2022 | 22:21:27 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.88 < Threshold 2.93 Volts
126b | 12/09/2022 | 22:21:27 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.88 < Threshold 2.90 Volts
126c | 12/09/2022 | 22:21:28 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
126d | 12/09/2022 | 22:21:33 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
126e | 12/09/2022 | 22:21:33 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
126f | 12/09/2022 | 22:21:34 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1270 | 12/09/2022 | 22:21:51 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.81 < Threshold 2.93 Volts
1271 | 12/09/2022 | 22:21:52 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.81 < Threshold 2.90 Volts
1272 | 12/09/2022 | 22:21:52 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.81 < Threshold 2.88 Volts
1273 | 12/09/2022 | 22:22:13 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1274 | 12/09/2022 | 22:22:13 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1275 | 12/09/2022 | 22:22:13 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1276 | 12/09/2022 | 22:22:16 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.76 < Threshold 2.93 Volts
1277 | 12/09/2022 | 22:22:16 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.76 < Threshold 2.90 Volts
1278 | 12/09/2022 | 22:22:16 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.76 < Threshold 2.88 Volts
1279 | 12/09/2022 | 22:22:19 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
127a | 12/09/2022 | 22:22:19 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
127b | 12/09/2022 | 22:22:19 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
127c | 12/09/2022 | 22:22:28 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
127d | 12/09/2022 | 22:22:31 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
127e | 12/09/2022 | 22:22:31 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
127f | 12/09/2022 | 22:22:37 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.05 < Threshold 2.88 Volts
1280 | 12/09/2022 | 22:22:37 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.05 < Threshold 2.90 Volts
1281 | 12/09/2022 | 22:22:37 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.05 < Threshold 2.93 Volts
1282 | 12/09/2022 | 22:23:01 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1283 | 12/09/2022 | 22:23:04 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1284 | 12/09/2022 | 22:23:10 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1285 | 12/09/2022 | 22:23:13 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1286 | 12/09/2022 | 22:23:19 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
1287 | 12/09/2022 | 22:23:20 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1288 | 12/09/2022 | 22:23:59 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1289 | 12/09/2022 | 22:24:23 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.14 < Threshold 2.93 Volts
128a | 12/10/2022 | 20:05:22 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.81 < Threshold 2.93 Volts
128b | 12/10/2022 | 20:05:22 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.81 < Threshold 2.90 Volts
128c | 12/10/2022 | 20:05:22 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.81 < Threshold 2.88 Volts
128d | 12/10/2022 | 20:05:25 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.14 < Threshold 2.88 Volts
128e | 12/10/2022 | 20:05:25 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.14 < Threshold 2.90 Volts
128f | 12/10/2022 | 20:05:25 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.14 < Threshold 2.93 Volts
1290 | 12/11/2022 | 20:40:33 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1291 | 12/11/2022 | 20:40:36 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
1292 | 12/11/2022 | 20:41:13 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1293 | 12/11/2022 | 20:41:16 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
1294 | 12/11/2022 | 20:41:19 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1295 | 12/11/2022 | 20:41:22 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
1296 | 12/11/2022 | 20:41:25 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
1297 | 12/11/2022 | 20:41:25 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
1298 | 12/11/2022 | 20:41:28 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
1299 | 12/11/2022 | 20:41:34 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
129a | 12/11/2022 | 20:41:37 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
129b | 12/11/2022 | 20:41:37 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
109c | 12/09/2022 | 21:45:42 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
109d | 12/09/2022 | 21:45:42 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
109e | 12/09/2022 | 21:45:48 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.88 < Threshold 2.88 Volts
109f | 12/09/2022 | 21:45:51 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.07 < Threshold 2.88 Volts
10a0 | 12/09/2022 | 21:45:51 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10a1 | 12/09/2022 | 21:45:51 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10a2 | 12/09/2022 | 21:46:03 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10a3 | 12/09/2022 | 21:46:06 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10a4 | 12/09/2022 | 21:46:09 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10a5 | 12/09/2022 | 21:46:09 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10a6 | 12/09/2022 | 21:46:12 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10a7 | 12/09/2022 | 21:46:15 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10a8 | 12/09/2022 | 21:46:21 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10a9 | 12/09/2022 | 21:46:21 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10aa | 12/09/2022 | 21:46:30 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.12 < Threshold 2.90 Volts
10ab | 12/09/2022 | 21:46:30 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
10ac | 12/09/2022 | 21:46:31 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10ad | 12/09/2022 | 21:46:34 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10ae | 12/09/2022 | 21:46:37 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10af | 12/09/2022 | 21:46:38 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10b0 | 12/09/2022 | 21:46:43 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10b1 | 12/09/2022 | 21:46:44 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10b2 | 12/09/2022 | 21:46:46 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10b3 | 12/09/2022 | 21:46:47 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10b4 | 12/09/2022 | 21:46:52 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.86 < Threshold 2.93 Volts
10b5 | 12/09/2022 | 21:46:53 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.86 < Threshold 2.90 Volts
10b6 | 12/09/2022 | 21:46:53 | Voltage +3.3V | Lower Non-recoverable going low  | Asserted | Reading 2.86 < Threshold 2.88 Volts
10b7 | 12/09/2022 | 21:46:58 | Voltage +3.3V | Lower Non-recoverable going low  | Deasserted | Reading 3.10 < Threshold 2.88 Volts
10b8 | 12/09/2022 | 21:46:59 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.10 < Threshold 2.90 Volts
10b9 | 12/09/2022 | 21:46:59 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.10 < Threshold 2.93 Volts
10ba | 12/09/2022 | 21:47:08 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10bb | 12/09/2022 | 21:47:14 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
10bc | 12/09/2022 | 21:47:26 | Voltage +3.3V | Lower Critical going low  | Deasserted | Reading 3.07 < Threshold 2.90 Volts
10bd | 12/09/2022 | 21:47:26 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10be | 12/09/2022 | 21:47:29 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10bf | 12/09/2022 | 21:47:38 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.02 < Threshold 2.93 Volts
10c0 | 12/09/2022 | 21:47:41 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10c1 | 12/09/2022 | 21:47:47 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3 < Threshold 2.93 Volts
10c2 | 12/09/2022 | 21:48:44 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10c3 | 12/09/2022 | 21:48:47 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.07 < Threshold 2.93 Volts
10c4 | 12/09/2022 | 21:48:54 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.93 < Threshold 2.93 Volts
10c5 | 12/09/2022 | 21:48:57 | Voltage +3.3V | Lower Non-critical going low  | Deasserted | Reading 3.12 < Threshold 2.93 Volts
10c6 | 12/09/2022 | 21:49:12 | Voltage +3.3V | Lower Non-critical going low  | Asserted | Reading 2.90 < Threshold 2.93 Volts
10c7 | 12/09/2022 | 21:49:12 | Voltage +3.3V | Lower Critical going low  | Asserted | Reading 2.90 < Threshold 2.90 Volts
